from_bus,to_bus,phases,r,x,b
93,94,a,0.089666667,0.027289314,0.0
95,94,a,0.085977778,0.026166631,0.0
96,95,a,0.155377778,0.047287951,0.0
97,96,a,0.253416667,0.025210845,0.0
98,96,a,0.129112535,0.021514892,0.0
99,98,a,0.204941944,0.034150857,0.0
99,100,a,0.330416667,0.032871095,0.0
84,101,a,0.18617934,0.030111838,0.0
101,102,a,0.168462813,0.027255389,0.0
103,102,a,0.143077778,0.043544547,0.0
104,103,a,0.362375,0.03605043,0.0
103,105,a,0.122079306,0.067922978,0.0
106,105,a,0.153704931,0.026831274,0.0
105,107,a,0.065530486,0.015646549,0.0
107,108,a,0.087890938,0.019427151,0.0
109,3,a,0.353377431,0.177703643,0.0
109,110,a,0.221488889,0.067408325,0.0
111,110,a,0.078588889,0.023917883,0.0
111,112,a,0.108177778,0.032923018,0.0
112,113,a,0.105922222,0.032236559,0.0
114,113,a,0.100433333,0.031636165,0.0
114,115,a,0.108611458,0.034103843,0.0
115,116,a,0.129112535,0.021514892,0.0
115,117,a,0.093466667,0.028445812,0.0
117,118,a,0.038955556,0.011855803,0.0
119,118,a,0.119226771,0.024668375,0.0
119,120,a,0.135365833,0.027551986,0.0
121,120,a,0.259122222,0.078861721,0.0
122,121,a,0.17948,0.029907962,0.0
114,123,a,0.064567396,0.01234155,0.0
113,124,a,0.088722222,0.02700188,0.0
124,125,a,0.155555556,0.047342056,0.0
125,126,a,0.112988889,0.034387241,0.0
127,126,a,0.136781667,0.03022583,0.0
128,127,a,0.088768194,0.019174514,0.0
128,129,a,0.016311111,0.005924956,0.0
80,130,a,0.429416667,0.042719988,0.0
131,109,a,0.326019722,0.053741415,0.0
132,3,a,0.142785278,0.068693432,0.0
133,132,a,0.077233333,0.023505331,0.0
133,134,a,0.1178,0.035851463,0.0
134,135,a,0.089677778,0.027292695,0.0
135,136,a,0.084344444,0.025669539,0.0
137,136,a,0.114422222,0.034823464,0.0
137,138,a,0.095366667,0.029024062,0.0
138,139,a,0.0683,0.020911008,0.0
139,140,a,0.142166667,0.044101089,0.0
140,141,a,0.137922222,0.041975496,0.0
142,141,a,0.093588889,0.02848301,0.0
142,143,a,0.098411111,0.029950614,0.0
144,142,a,0.168351528,0.02805355,0.0
145,144,a,0.333083333,0.033136385,0.0
146,142,a,0.106777778,0.03249694,0.0
147,146,a,0.096511111,0.029372364,0.0
146,148,a,0.352625,0.035080463,0.0
141,149,a,0.064777778,0.019714585,0.0
150,149,a,0.119244444,0.036291067,0.0
150,151,a,0.168062188,0.028005335,0.0
152,153,a,0.128155556,0.039003091,0.0
153,154,a,0.016778264,0.008928668,0.0
155,153,a,0.120625903,0.064191901,0.0
156,153,a,0.096222222,0.029284443,0.0
156,157,a,0.016274028,0.010763445,0.0
158,156,a,0.11188625,0.074000215,0.0
158,159,a,0.056621667,0.00943525,0.0
158,160,a,0.090421528,0.059803707,0.0
161,159,a,0.515041667,0.051238285,0.0
162,161,a,0.141331597,0.023551037,0.0
160,163,a,0.022489063,0.022701825,0.0
160,147,a,0.059340625,0.039665116,0.0
155,164,a,0.102819444,0.054716072,0.0
155,165,a,0.154930208,0.082447172,0.0
166,136,a,0.249375,0.024808764,0.0
167,3,a,0.042019306,0.023342797,0.0
168,167,a,0.0206,0.009225701,0.0
169,168,a,0.056800208,0.025753315,0.0
169,170,a,0.060433819,0.027241972,0.0
170,171,a,0.074968264,0.033727724,0.0
172,3,a,0.183204209,0.124319448,0.0
173,172,a,0.064433333,0.019609756,0.0
174,172,a,0.067288889,0.020478821,0.0
175,172,a,0.032944444,0.010026371,0.0
176,172,a,0.001111111,0.000338158,0.0
177,172,a,0.034911111,0.01062491,0.0
178,3,a,0.400299236,0.173651861,0.0
179,178,a,0.086705972,0.039369065,0.0
179,181,a,0.045055556,0.013712288,0.0
181,182,a,0.043315764,0.018144007,0.0
182,183,a,0.119777778,0.036453383,0.0
183,184,a,0.107988889,0.032865532,0.0
184,185,a,0.077922222,0.023714988,0.0
186,185,a,0.142655556,0.043416047,0.0
186,187,a,0.222243889,0.036331319,0.0
187,188,a,0.070722222,0.021523728,0.0
189,188,a,0.088977778,0.027079656,0.0
189,190,a,0.100177778,0.030488284,0.0
191,190,a,0.210241563,0.056132079,0.0
191,192,a,0.133666667,0.040680352,0.0
189,193,a,0.100866667,0.030697942,0.0
193,194,a,0.167950903,0.02813558,0.0
195,129,a,0.040529896,0.00675377,0.0
196,184,a,0.092678125,0.019312068,0.0
197,178,a,0.119588889,0.036395896,0.0
198,197,a,0.1199,0.03649058,0.0
198,199,a,0.070244444,0.02137832,0.0
200,199,a,0.095111111,0.028946286,0.0
200,201,a,0.330916667,0.032920837,0.0
202,200,a,0.014133333,0.004301364,0.0
202,203,a,0.049799688,0.050270828,0.0
202,204,a,0.331780417,0.212124045,0.0
204,205,a,0.028547813,0.028817895,0.0
204,206,a,0.028894688,0.029168052,0.0
207,208,a,0.046747188,0.047189449,0.0
207,209,a,0.055325,0.027519697,0.0
209,210,a,0.114372222,0.038298305,0.0
210,152,a,0.088377778,0.026940684,0.0
211,3,a,0.056830556,0.031570825,0.0
212,211,a,0.014515139,0.00806353,0.0
212,213,a,0.056995868,0.027159832,0.0
213,215,a,0.027502431,0.012582733,0.0
213,216,a,0.011172639,0.004941245,0.0
217,37,a,0.009616493,0.004852561,0.0
218,3,a,0.036820278,0.020454604,0.0
219,218,a,0.073535069,0.037259725,0.0
218,220,a,0.037094306,0.01640544,0.0
221,3,a,0.065284212,0.034627059,0.0
223,216,a,0.018382639,0.009251336,0.0
224,221,a,0.035799826,0.009119345,0.0
225,3,a,0.015397778,0.008553859,0.0
226,225,a,0.025084028,0.013934818,0.0
226,227,a,0.076790278,0.037982292,0.0
228,227,a,0.015508785,0.00771741,0.0
228,229,a,0.00981559,0.005165847,0.0
230,3,a,0.028289236,0.012511284,0.0
230,231,a,0.035771042,0.01582021,0.0
232,231,a,0.037129167,0.019198731,0.0
233,3,a,0.045041181,0.024899194,0.0
234,232,a,0.016991076,0.010034661,0.0
234,235,a,0.026628056,0.01544191,0.0
236,237,a,0.039866875,0.020247783,0.0
237,235,a,0.002434757,0.001193369,0.0
238,2,a,0.059086458,0.031777864,0.0
239,238,a,0.08374625,0.042291509,0.0
240,239,a,0.038104097,0.019227638,0.0
240,241,a,0.108157847,0.054566628,0.0
243,2,a,0.086636181,0.044745224,0.0
244,243,a,0.059272257,0.02961082,0.0
244,245,a,0.013072778,0.006695519,0.0
245,246,a,0.026756632,0.012347986,0.0
214,246,a,0.076349861,0.037388989,0.0
214,247,a,0.119586563,0.019341412,0.0
247,248,a,0.065014271,0.018563976,0.0
68,240,a,0.034833819,0.017577429,0.0
250,68,a,0.038314306,0.018795014,0.0
250,251,a,0.034715972,0.016992198,0.0
241,252,a,0.028532431,0.013069244,0.0
252,253,a,0.0218875,0.010013827,0.0
253,242,a,0.036257431,0.016597427,0.0
253,254,a,0.043639097,0.01929996,0.0
249,254,a,0.040956806,0.018113681,0.0
255,2,a,0.269854028,0.149910802,0.0
256,255,a,0.027321944,0.015178038,0.0
256,180,a,0.045713403,0.020217349,0.0
256,257,a,0.043180972,0.023988132,0.0
258,2,a,0.337208819,0.17722095,0.0
259,258,a,0.036264583,0.016587282,0.0
260,2,a,0.147998715,0.079977313,0.0
260,261,a,0.136440694,0.065527187,0.0
222,2,a,0.036222347,0.020122438,0.0
262,2,a,0.123539722,0.068377746,0.0
263,257,a,0.051088681,0.028254263,0.0
263,264,a,0.015120972,0.006837982,0.0
265,264,a,0.018604375,0.008228028,0.0
266,3,a,0.122426564,0.068011082,0.0
266,267,a,0.133296977,0.074049874,0.0
267,268,a,0.194933333,0.059326359,0.0
269,268,a,0.028144444,0.008565531,0.0
269,270,a,0.233334688,0.057163242,0.0
271,270,a,0.104117986,0.019587176,0.0
272,270,a,0.111588889,0.033961162,0.0
273,272,a,0.110726667,0.082746823,0.0
273,274,a,0.007064688,0.007131524,0.0
273,275,a,0.070785625,0.071455307,0.0
275,276,a,0.011782188,0.011893655,0.0
275,277,a,0.030872917,0.047109491,0.0
276,278,a,0.041266563,0.041656973,0.0
276,279,a,0.01438375,0.01451983,0.0
278,280,a,0.01295,0.013072516,0.0
280,281,a,0.047186563,0.047632981,0.0
280,282,a,0.11206375,0.113123952,0.0
281,283,a,0.033309757,0.024642631,0.0
281,284,a,0.025911563,0.026156704,0.0
282,285,a,0.029023056,0.005547529,0.0
282,286,a,0.248654583,0.164457139,0.0
287,286,a,0.079524063,0.012861877,0.0
288,286,a,0.124192222,0.020283344,0.0
278,289,a,0.025644792,0.039131809,0.0
277,290,a,0.021721875,0.033145766,0.0
277,291,a,0.052597813,0.053095425,0.0
272,292,a,0.120811111,0.03676787,0.0
293,292,a,0.168488889,0.05127821,0.0
294,295,a,0.017193438,0.017356099,0.0
294,296,a,0.066021875,0.066646488,0.0
296,297,a,0.0498575,0.050329187,0.0
296,298,a,0.018858438,0.019036852,0.0
298,299,a,0.009677813,0.009769371,0.0
298,300,a,0.097655556,0.029720666,0.0
293,301,a,0.101602951,0.019420606,0.0
293,302,a,0.109050694,0.106785789,0.0
303,302,a,0.060945938,0.061522529,0.0
303,304,a,0.019644688,0.01983054,0.0
303,305,a,0.204766771,0.028272698,0.0
303,306,a,0.125597882,0.083742534,0.0
267,307,a,0.164888889,0.050182579,0.0
308,307,a,0.138477778,0.042144575,0.0
309,308,a,0.199867361,0.033378331,0.0
310,308,a,0.089977778,0.027383998,0.0
310,311,a,0.499208333,0.049663126,0.0
312,310,a,0.1403,0.042699153,0.0
313,312,a,0.323375,0.032170563,0.0
314,312,a,0.088688889,0.026991735,0.0
314,315,a,0.163244444,0.049682106,0.0
310,316,a,0.194188889,0.059099794,0.0
317,316,a,0.047788889,0.014544156,0.0
318,317,a,0.093155556,0.028351128,0.0
319,318,a,0.152939306,0.032796155,0.0
320,319,a,0.398833333,0.039677443,0.0
319,321,a,0.053344444,0.016234944,0.0
322,321,a,0.124688889,0.037948039,0.0
323,322,a,0.111577778,0.03395778,0.0
324,323,a,0.100022222,0.030440942,0.0
300,324,a,0.101233333,0.030809534,0.0
325,300,a,0.34025,0.033849352,0.0
316,326,a,0.376375,0.037443203,0.0
266,327,a,0.076761111,0.042642757,0.0
328,327,a,0.081011111,0.024655066,0.0
329,328,a,0.067911111,0.020668189,0.0
330,329,a,0.084366667,0.025676302,0.0
331,330,a,0.081255556,0.024729461,0.0
332,331,a,0.105288889,0.032043809,0.0
332,333,a,0.188125,0.018715384,0.0
332,334,a,0.133559722,0.121198827,0.0
334,335,a,0.048794063,0.015127423,0.0
334,336,a,0.137802778,0.091141094,0.0
336,337,a,0.034543056,0.02284636,0.0
336,338,a,0.056866667,0.017306903,0.0
338,339,a,0.031477778,0.009580003,0.0
339,340,a,0.072531563,0.073217762,0.0
339,341,a,0.119293056,0.103812184,0.0
341,342,a,0.030999063,0.031292335,0.0
341,343,a,0.04194875,0.042345615,0.0
340,344,a,0.10845625,0.109482322,0.0
344,345,a,0.049845938,0.050317515,0.0
344,346,a,0.101046528,0.016467072,0.0
345,347,a,0.013805625,0.013936236,0.0
345,348,a,0.123146944,0.043544547,0.0
340,349,a,0.026155556,0.007972337,0.0
329,350,a,0.275916667,0.027449229,0.0
328,351,a,0.247125,0.024584926,0.0
266,352,a,0.042919028,0.023842616,0.0
353,352,a,0.043992708,0.024332944,0.0
354,353,a,0.099855556,0.03062562,0.0
354,355,a,0.025388889,0.007962083,0.0
355,356,a,0.07726875,0.029023298,0.0
356,357,a,0.206168472,0.136357338,0.0
357,358,a,0.138460451,0.023072598,0.0
357,359,a,0.016181667,0.010702359,0.0
359,360,a,0.195993854,0.108584678,0.0
359,361,a,0.101375556,0.067048569,0.0
361,362,a,0.09809625,0.099024309,0.0
362,363,a,0.110648611,0.073181656,0.0
363,364,a,0.021316944,0.01409877,0.0
363,365,a,0.090833333,0.009036442,0.0
364,366,a,0.226857361,0.15004072,0.0
366,367,a,0.019765278,0.013072516,0.0
366,368,a,0.076555556,0.025884978,0.0
362,369,a,0.030822222,0.009457067,0.0
369,370,a,0.048411111,0.014999251,0.0
370,371,a,0.046166667,0.01410346,0.0
372,371,a,0.061744444,0.018843775,0.0
372,373,a,0.080422222,0.024475843,0.0
373,374,a,0.105933333,0.03223994,0.0
375,374,a,0.094725556,0.015784758,0.0
372,376,a,0.097952813,0.016322537,0.0
372,377,a,0.071844444,0.022608122,0.0
377,378,a,0.0683225,0.021809089,0.0
379,3,a,0.075623681,0.041320343,0.0
380,379,a,0.066653194,0.036343318,0.0
381,380,a,0.052732569,0.027908578,0.0
381,382,a,0.035044444,0.012729777,0.0
383,381,a,0.083802569,0.045171412,0.0
383,384,a,0.020671875,0.031543554,0.0
383,385,a,0.171348333,0.113327719,0.0
384,386,a,0.063387049,0.031454869,0.0
384,387,a,0.008626042,0.013162619,0.0
387,388,a,0.074921875,0.11432452,0.0
388,389,a,0.062365625,0.095164732,0.0
389,390,a,0.056607535,0.010115056,0.0
390,391,a,0.075362014,0.012562662,0.0
389,392,a,0.1157625,0.176643901,0.0
392,393,a,0.063167708,0.096388644,0.0
393,394,a,0.060387083,0.046429467,0.0
394,395,a,0.031383333,0.047888344,0.0
394,396,a,0.006547917,0.009991574,0.0
395,397,a,0.012410417,0.018937259,0.0
397,398,a,0.041278125,0.062986969,0.0
397,399,a,0.065835,0.043542474,0.0
399,400,a,0.350095417,0.043685809,0.0
398,401,a,0.065927361,0.043603561,0.0
398,402,a,0.020460417,0.031220886,0.0
401,403,a,0.14513625,0.095991364,0.0
401,404,a,0.032400278,0.021429153,0.0
403,405,a,0.070102083,0.046364672,0.0
403,406,a,0.057818056,0.038240164,0.0
403,407,a,0.196285833,0.12982108,0.0
402,408,a,0.021721875,0.033145766,0.0
402,409,a,0.096443472,0.063786548,0.0
402,410,a,0.053746875,0.08201324,0.0
411,410,a,0.116111111,0.035337463,0.0
410,412,a,0.031082083,0.033098969,0.0
413,412,a,0.177583333,0.017666659,0.0
414,412,a,0.007466667,0.002272419,0.0
414,415,a,0.191877778,0.058396426,0.0
415,416,a,0.166222222,0.050588368,0.0
368,417,a,0.208375,0.021275454,0.0
417,418,a,0.177432361,0.02956675,0.0
415,419,a,0.347166667,0.035446328,0.0
420,412,a,0.029344444,0.008930741,0.0
387,421,a,0.160444444,0.048940559,0.0
421,422,a,0.043156215,0.008248971,0.0
422,423,a,0.048253056,0.009223192,0.0
423,424,a,0.049632986,0.009486955,0.0
421,425,a,0.261415139,0.026243207,0.0
421,426,a,0.462452153,0.046296167,0.0
385,427,a,0.017222222,0.005241442,0.0
385,428,a,0.11188625,0.074000215,0.0
379,429,a,0.107612326,0.017932167,0.0
430,3,a,0.049621389,0.027565948,0.0
431,430,a,0.050270556,0.027926577,0.0
431,432,a,0.073430417,0.032503048,0.0
432,433,a,0.059782917,0.026439775,0.0
433,434,a,0.072886806,0.03223514,0.0
434,435,a,0.093021875,0.041140138,0.0
435,436,a,0.081924306,0.054183747,0.0
435,437,a,0.020208611,0.013365731,0.0
436,438,a,0.050281389,0.033255504,0.0
436,439,a,0.109263194,0.072265358,0.0
439,440,a,0.070102083,0.046364672,0.0
439,441,a,0.063801875,0.064405486,0.0
437,442,a,0.172438194,0.11404854,0.0
443,434,a,0.287613194,0.127200687,0.0
432,444,a,0.24386934,0.046613708,0.0
445,431,a,0.0916,0.027877708,0.0
445,446,a,0.158755556,0.04831595,0.0
431,447,a,0.164389792,0.031421817,0.0
266,448,a,0.124922569,0.050345549,0.0
448,449,a,0.235298438,0.08259738,0.0
449,450,a,0.277935417,0.097564342,0.0
450,451,a,0.069583125,0.07024143,0.0
450,452,a,0.27024375,0.094864317,0.0
451,453,a,0.05693375,0.057472383,0.0
451,454,a,0.184338542,0.022021256,0.0
452,455,a,0.038113542,0.05815808,0.0
452,456,a,0.119553646,0.041967205,0.0
266,457,a,0.19304625,0.074222744,0.0
457,458,a,0.229295694,0.151653404,0.0
458,459,a,0.035299514,0.006747225,0.0
458,460,a,0.100675,0.050077641,0.0
459,461,a,0.167906389,0.02715645,0.0
462,461,a,0.129891528,0.021610885,0.0
460,463,a,0.243535486,0.039866811,0.0
460,464,a,0.026378333,0.017446311,0.0
464,465,a,0.043483611,0.028759535,0.0
465,466,a,0.115857778,0.076626935,0.0
466,467,a,0.090790972,0.060048053,0.0
467,468,a,0.094485417,0.062491514,0.0
468,469,a,0.212763056,0.140718916,0.0
469,470,a,0.133125694,0.081176573,0.0
471,470,a,0.097166667,0.029571877,0.0
108,472,a,0.06104191,0.05264873,0.0
472,473,a,0.213125,0.021202478,0.0
472,474,a,0.020292188,0.020484166,0.0
474,475,a,0.103854375,0.10483691,0.0
475,476,a,0.062738125,0.063331672,0.0
476,477,a,0.099128924,0.034905931,0.0
478,477,a,0.469875,0.046744935,0.0
477,479,a,0.085144444,0.025913012,0.0
479,480,a,0.110633333,0.033670347,0.0
480,481,a,0.083044444,0.025273895,0.0
481,482,a,0.069488889,0.021148373,0.0
483,482,a,0.279235625,0.045509787,0.0
484,477,a,0.087755556,0.026707683,0.0
485,484,a,0.222391389,0.037058576,0.0
486,484,a,0.166259375,0.02702446,0.0
487,486,a,0.273960729,0.044624251,0.0
476,488,a,0.054679063,0.055196365,0.0
488,489,a,0.094940417,0.074747652,0.0
474,490,a,0.12913,0.130351661,0.0
490,491,a,0.054424688,0.054939583,0.0
490,492,a,0.014441563,0.01457819,0.0
493,494,a,0.079679861,0.015230179,0.0
493,495,a,0.168522222,0.051288354,0.0
495,496,a,0.259152743,0.035106425,0.0
480,495,a,0.168188889,0.051186907,0.0
495,497,a,0.101677778,0.030944797,0.0
499,497,a,0.047696632,0.007948011,0.0
468,500,a,0.016754306,0.011081095,0.0
500,501,a,0.00670625,0.006769696,0.0
500,502,a,0.064761563,0.065374252,0.0
465,503,a,0.157962639,0.03356879,0.0
503,504,a,0.399791667,0.039772781,0.0
267,505,a,0.170510451,0.029247246,0.0
506,505,a,0.142507951,0.028424869,0.0
507,508,a,0.037244444,0.011335041,0.0
508,509,a,0.052833333,0.016087354,0.0
267,510,a,0.106677778,0.032536864,0.0
510,511,a,0.064555556,0.019711312,0.0
511,509,a,0.046688889,0.014667747,0.0
510,512,a,0.056566667,0.017274505,0.0
266,513,a,0.0991925,0.035374879,0.0
514,513,a,0.117133333,0.035648568,0.0
514,515,a,0.164478819,0.027408214,0.0
516,514,a,0.136722222,0.041610286,0.0
517,516,a,0.1214,0.036947093,0.0
498,517,a,0.132688889,0.040382774,0.0
498,518,a,0.129577778,0.039435933,0.0
519,518,a,0.0712,0.021669135,0.0
519,520,a,0.069722222,0.021219386,0.0
520,521,a,0.167577778,0.051000921,0.0
522,521,a,0.148133333,0.045083164,0.0
522,523,a,0.119133333,0.036257252,0.0
523,524,a,0.1228,0.037373172,0.0
524,525,a,0.050988889,0.01551805,0.0
525,526,a,0.256511285,0.042744204,0.0
525,527,a,0.132933333,0.040457168,0.0
527,528,a,0.081733333,0.024874869,0.0
529,524,a,0.144044444,0.043838744,0.0
529,530,a,0.061611111,0.018750836,0.0
530,531,a,0.113799757,0.01896322,0.0
532,521,a,0.214245347,0.035701146,0.0
517,533,a,0.560425521,0.059721458,0.0
