transformer_id,secondary_winding,from_bus,from_phases,to_bus,to_phases,from_connection,to_connection,voltage_ratio,tap_pu,enabled
t2223661373a,1,l3312692,a,x3312692a,a,wye,wye,0.01666667,1,1
t2223661373a,2,l3312692,a,x3312692a,b,wye,wye,0.01666667,1,1
t226881700a,1,l3251854,a,x3251854a,a,wye,wye,0.01666667,1,1
t226881700a,2,l3251854,a,x3251854a,b,wye,wye,0.01666667,1,1
t5355777b,1,l3085398,b,x3085398b,a,wye,wye,0.01666667,1,1
t5355777b,2,l3085398,b,x3085398b,b,wye,wye,0.01666667,1,1
t5337671a,1,l3254207,a,x3254207a,a,wye,wye,0.01666667,1,1
t5337671a,2,l3254207,a,x3254207a,b,wye,wye,0.01666667,1,1
t5339018a,1,l2729424,a,x2729424a,a,wye,wye,0.01666667,1,1
t5339018a,2,l2729424,a,x2729424a,b,wye,wye,0.01666667,1,1
t21398676a,1,l3066816,a,x3066816a,a,wye,wye,0.01666667,1,1
t21398676a,2,l3066816,a,x3066816a,b,wye,wye,0.01666667,1,1
t5138469c,1,l2785518,c,x2785518c,a,wye,wye,0.01666667,1,1
t5138469c,2,l2785518,c,x2785518c,b,wye,wye,0.01666667,1,1
t5138373c,1,l3029503,c,x3029503c,a,wye,wye,0.01666667,1,1
t5138373c,2,l3029503,c,x3029503c,b,wye,wye,0.01666667,1,1
t5391995a,1,l2748140,a,x2748140a,a,wye,wye,0.01666667,1,1
t5391995a,2,l2748140,a,x2748140a,b,wye,wye,0.01666667,1,1
t225533423c,1,l2891575,c,x2891575c,a,wye,wye,0.01666667,1,1
t225533423c,2,l2891575,c,x2891575c,b,wye,wye,0.01666667,1,1
t5260568c,1,l2842329,c,x2842329c,a,wye,wye,0.01666667,1,1
t5260568c,2,l2842329,c,x2842329c,b,wye,wye,0.01666667,1,1
t5138754b,1,l3254212,b,x3254212b,a,wye,wye,0.01666667,1,1
t5138754b,2,l3254212,b,x3254212b,b,wye,wye,0.01666667,1,1
t5260552a,1,l3198348,a,x3198348a,a,wye,wye,0.01666667,1,1
t5260552a,2,l3198348,a,x3198348a,b,wye,wye,0.01666667,1,1
t5338968c,1,l3178979,c,x3178979c,a,wye,wye,0.01666667,1,1
t5338968c,2,l3178979,c,x3178979c,b,wye,wye,0.01666667,1,1
t5247061a,1,l2879054,a,x2879054a,a,wye,wye,0.01666667,1,1
t5247061a,2,l2879054,a,x2879054a,b,wye,wye,0.01666667,1,1
t5391746b,1,l3085388,b,x3085388b,a,wye,wye,0.01666667,1,1
t5391746b,2,l3085388,b,x3085388b,b,wye,wye,0.01666667,1,1
t5338941c,1,l2991914,c,x2991914c,a,wye,wye,0.01666667,1,1
t5338941c,2,l2991914,c,x2991914c,b,wye,wye,0.01666667,1,1
t5338982b,1,l2785534,b,x2785534b,a,wye,wye,0.01666667,1,1
t5338982b,2,l2785534,b,x2785534b,b,wye,wye,0.01666667,1,1
t5339008b,1,l3122835,b,x3122835b,a,wye,wye,0.01666667,1,1
t5339008b,2,l3122835,b,x3122835b,b,wye,wye,0.01666667,1,1
t21391094a,1,l3085395,a,x3085395a,a,wye,wye,0.01666667,1,1
t21391094a,2,l3085395,a,x3085395a,b,wye,wye,0.01666667,1,1
t5138581a,1,l2879064,a,x2879064a,a,wye,wye,0.01666667,1,1
t5138581a,2,l2879064,a,x2879064a,b,wye,wye,0.01666667,1,1
t5338979b,1,l3066814,b,x3066814b,a,wye,wye,0.01666667,1,1
t5338979b,2,l3066814,b,x3066814b,b,wye,wye,0.01666667,1,1
t226308720a,1,l2821087,a,x2821087a,a,wye,wye,0.01666667,1,1
t226308720a,2,l2821087,a,x2821087a,b,wye,wye,0.01666667,1,1
t5355595b,1,l2860479,b,x2860479b,a,wye,wye,0.01666667,1,1
t5355595b,2,l2860479,b,x2860479b,b,wye,wye,0.01666667,1,1
t2224387113a,1,l3728042,a,x3728042a,a,wye,wye,0.01666667,1,1
t2224387113a,2,l3728042,a,x3728042a,b,wye,wye,0.01666667,1,1
t21397005a,1,l2935557,a,x2935557a,a,wye,wye,0.01666667,1,1
t21397005a,2,l2935557,a,x2935557a,b,wye,wye,0.01666667,1,1
t5274985c,1,l2822864,c,x2822864c,a,wye,wye,0.01666667,1,1
t5274985c,2,l2822864,c,x2822864c,b,wye,wye,0.01666667,1,1
t5321836a,1,l3235247,a,x3235247a,a,wye,wye,0.01666667,1,1
t5321836a,2,l3235247,a,x3235247a,b,wye,wye,0.01666667,1,1
t225673440a,1,l3251807,a,x3251807a,a,wye,wye,0.01666667,1,1
t225673440a,2,l3251807,a,x3251807a,b,wye,wye,0.01666667,1,1
t5337641c,1,l2804282,c,x2804282c,a,wye,wye,0.01666667,1,1
t5337641c,2,l2804282,c,x2804282c,b,wye,wye,0.01666667,1,1
t5293659c,1,l2935560,c,x2935560c,a,wye,wye,0.01666667,1,1
t5293659c,2,l2935560,c,x2935560c,b,wye,wye,0.01666667,1,1
t5339011b,1,l3104145,b,x3104145b,a,wye,wye,0.01666667,1,1
t5339011b,2,l3104145,b,x3104145b,b,wye,wye,0.01666667,1,1
t5218473a,1,l3086078,a,x3086078a,a,wye,wye,0.01666667,1,1
t5218473a,2,l3086078,a,x3086078a,b,wye,wye,0.01666667,1,1
t28121587a,1,l2860477,a,x2860477a,a,wye,wye,0.01666667,1,1
t28121587a,2,l2860477,a,x2860477a,b,wye,wye,0.01666667,1,1
t2224230689c,1,l3645811,c,x3645811c,a,wye,wye,0.01666667,1,1
t2224230689c,2,l3645811,c,x3645811c,b,wye,wye,0.01666667,1,1
t227734175b,1,l3102793,b,x3102793b,a,wye,wye,0.01666667,1,1
t227734175b,2,l3102793,b,x3102793b,b,wye,wye,0.01666667,1,1
t5337694b,1,l2991910,b,x2991910b,a,wye,wye,0.01666667,1,1
t5337694b,2,l2991910,b,x2991910b,b,wye,wye,0.01666667,1,1
t21357515a,1,l2710511,a,x2710511a,a,wye,wye,0.01666667,1,1
t21357515a,2,l2710511,a,x2710511a,b,wye,wye,0.01666667,1,1
t28127390c,1,l2860486,c,x2860486c,a,wye,wye,0.01666667,1,1
t28127390c,2,l2860486,c,x2860486c,b,wye,wye,0.01666667,1,1
t21387929c,1,l2935551,c,x2935551c,a,wye,wye,0.01666667,1,1
t21387929c,2,l2935551,c,x2935551c,b,wye,wye,0.01666667,1,1
t5355605b,1,l2729409,b,x2729409b,a,wye,wye,0.01666667,1,1
t5355605b,2,l2729409,b,x2729409b,b,wye,wye,0.01666667,1,1
t5260630b,1,l2973833,b,x2973833b,a,wye,wye,0.01666667,1,1
t5260630b,2,l2973833,b,x2973833b,b,wye,wye,0.01666667,1,1
t5337660c,1,l2897769,c,x2897769c,a,wye,wye,0.01666667,1,1
t5337660c,2,l2897769,c,x2897769c,b,wye,wye,0.01666667,1,1
t5293663c,1,l3216368,c,x3216368c,a,wye,wye,0.01666667,1,1
t5293663c,2,l3216368,c,x3216368c,b,wye,wye,0.01666667,1,1
t5138719a,1,l2860490,a,x2860490a,a,wye,wye,0.01666667,1,1
t5138719a,2,l2860490,a,x2860490a,b,wye,wye,0.01666667,1,1
t5251858c,1,l2861158,c,x2861158c,a,wye,wye,0.01666667,1,1
t5251858c,2,l2861158,c,x2861158c,b,wye,wye,0.01666667,1,1
t5302804c,1,l3141399,c,x3141399c,a,wye,wye,0.01666667,1,1
t5302804c,2,l3141399,c,x3141399c,b,wye,wye,0.01666667,1,1
t5356062b,1,l3122816,b,x3122816b,a,wye,wye,0.01666667,1,1
t5356062b,2,l3122816,b,x3122816b,b,wye,wye,0.01666667,1,1
t5346639c,1,l2992556,c,x2992556c,a,wye,wye,0.01666667,1,1
t5346639c,2,l2992556,c,x2992556c,b,wye,wye,0.01666667,1,1
t5302508c,1,l2897779,c,x2897779c,a,wye,wye,0.01666667,1,1
t5302508c,2,l2897779,c,x2897779c,b,wye,wye,0.01666667,1,1
t5321881a,1,l2970811,a,x2970811a,a,wye,wye,0.01666667,1,1
t5321881a,2,l2970811,a,x2970811a,b,wye,wye,0.01666667,1,1
t5355433c,1,l2991933,c,x2991933c,a,wye,wye,0.01666667,1,1
t5355433c,2,l2991933,c,x2991933c,b,wye,wye,0.01666667,1,1
t21398402a,1,l2729428,a,x2729428a,a,wye,wye,0.01666667,1,1
t21398402a,2,l2729428,a,x2729428a,b,wye,wye,0.01666667,1,1
t21398563a,1,l3254216,a,x3254216a,a,wye,wye,0.01666667,1,1
t21398563a,2,l3254216,a,x3254216a,b,wye,wye,0.01666667,1,1
t21386771b,1,l2897807,b,x2897807b,a,wye,wye,0.01666667,1,1
t21386771b,2,l2897807,b,x2897807b,b,wye,wye,0.01666667,1,1
t5260648a,1,l2898522,a,x2898522a,a,wye,wye,0.01666667,1,1
t5260648a,2,l2898522,a,x2898522a,b,wye,wye,0.01666667,1,1
t5293490c,1,l3048230,c,x3048230c,a,wye,wye,0.01666667,1,1
t5293490c,2,l3048230,c,x3048230c,b,wye,wye,0.01666667,1,1
t225901711a,1,l3195327,a,x3195327a,a,wye,wye,0.01666667,1,1
t225901711a,2,l3195327,a,x3195327a,b,wye,wye,0.01666667,1,1
t227902981a,1,l3047058,a,x3047058a,a,wye,wye,0.01666667,1,1
t227902981a,2,l3047058,a,x3047058a,b,wye,wye,0.01666667,1,1
t5321853b,1,l2673313,b,x2673313b,a,wye,wye,0.01666667,1,1
t5321853b,2,l2673313,b,x2673313b,b,wye,wye,0.01666667,1,1
t2224237653a,1,l3649302,a,x3649302a,a,wye,wye,0.01666667,1,1
t2224237653a,2,l3649302,a,x3649302a,b,wye,wye,0.01666667,1,1
t2224386592a,1,l3729297,a,x3729297a,a,wye,wye,0.01666667,1,1
t2224386592a,2,l3729297,a,x3729297a,b,wye,wye,0.01666667,1,1
t5391990a,1,l2858163,a,x2858163a,a,wye,wye,0.01666667,1,1
t5391990a,2,l2858163,a,x2858163a,b,wye,wye,0.01666667,1,1
t226881057b,1,l3214112,b,x3214112b,a,wye,wye,0.01666667,1,1
t226881057b,2,l3214112,b,x3214112b,b,wye,wye,0.01666667,1,1
t225533531a,1,l2685805,a,x2685805a,a,wye,wye,0.01666667,1,1
t225533531a,2,l2685805,a,x2685805a,b,wye,wye,0.01666667,1,1
t5247056a,1,l2991912,a,x2991912a,a,wye,wye,0.01666667,1,1
t5247056a,2,l2991912,a,x2991912a,b,wye,wye,0.01666667,1,1
t227905262a,1,l3140238,a,x3140238a,a,wye,wye,0.01666667,1,1
t227905262a,2,l3140238,a,x3140238a,b,wye,wye,0.01666667,1,1
t21469960b,1,l3066830,b,x3066830b,a,wye,wye,0.01666667,1,1
t21469960b,2,l3066830,b,x3066830b,b,wye,wye,0.01666667,1,1
t5260511c,1,l3160878,c,x3160878c,a,wye,wye,0.01666667,1,1
t5260511c,2,l3160878,c,x3160878c,b,wye,wye,0.01666667,1,1
t5138346c,1,l2916609,c,x2916609c,a,wye,wye,0.01666667,1,1
t5138346c,2,l2916609,c,x2916609c,b,wye,wye,0.01666667,1,1
t225806974a,1,l2876814,a,x2876814a,a,wye,wye,0.01666667,1,1
t225806974a,2,l2876814,a,x2876814a,b,wye,wye,0.01666667,1,1
t5355944b,1,l3197646,b,x3197646b,a,wye,wye,0.01666667,1,1
t5355944b,2,l3197646,b,x3197646b,b,wye,wye,0.01666667,1,1
t5138569a,1,l2973151,a,x2973151a,a,wye,wye,0.01666667,1,1
t5138569a,2,l2973151,a,x2973151a,b,wye,wye,0.01666667,1,1
t5337625c,1,l3197627,c,x3197627c,a,wye,wye,0.01666667,1,1
t5337625c,2,l3197627,c,x3197627c,b,wye,wye,0.01666667,1,1
t5321874a,1,l2764412,a,x2764412a,a,wye,wye,0.01666667,1,1
