transformer_id,winding,role,bus_id,bus_spec,connection,voltage_ratio,rated_s_pu,tap_pu,enabled
t5391978c,2,secondary_1,x3141402c,x3141402c.1.0,wye,0.01666667,0.00090909,1,1
t5391978c,3,secondary_2,x3141402c,x3141402c.0.2,wye,0.01666667,0.00090909,1,1
t5138642a,1,primary,l3235256,l3235256.1,wye,1,0.00054545,1,1
t5138642a,2,secondary_1,x3235256a,x3235256a.1.0,wye,0.01666667,0.00054545,1,1
t5138642a,3,secondary_2,x3235256a,x3235256a.0.2,wye,0.01666667,0.00054545,1,1
t21149420a,1,primary,l3178973,l3178973.1,wye,1,0.00090909,1,1
t21149420a,2,secondary_1,x3178973a,x3178973a.1.0,wye,0.01666667,0.00090909,1,1
t21149420a,3,secondary_2,x3178973a,x3178973a.0.2,wye,0.01666667,0.00090909,1,1
t21382992a,1,primary,l3197654,l3197654.1,wye,1,0.00090909,1,1
t21382992a,2,secondary_1,x3197654a,x3197654a.1.0,wye,0.01666667,0.00090909,1,1
t21382992a,3,secondary_2,x3197654a,x3197654a.0.2,wye,0.01666667,0.00090909,1,1
t5338958c,1,primary,l3066809,l3066809.3,wye,1,0.00090909,1,1
t5338958c,2,secondary_1,x3066809c,x3066809c.1.0,wye,0.01666667,0.00090909,1,1
t5338958c,3,secondary_2,x3066809c,x3066809c.0.2,wye,0.01666667,0.00090909,1,1
t5355585b,1,primary,l2766742,l2766742.2,wye,1,0.00054545,1,1
t5355585b,2,secondary_1,x2766742b,x2766742b.1.0,wye,0.01666667,0.00054545,1,1
t5355585b,3,secondary_2,x2766742b,x2766742b.0.2,wye,0.01666667,0.00054545,1,1
t5338900a,1,primary,l2991908,l2991908.1,wye,1,0.00054545,1,1
t5338900a,2,secondary_1,x2991908a,x2991908a.1.0,wye,0.01666667,0.00054545,1,1
t5338900a,3,secondary_2,x2991908a,x2991908a.0.2,wye,0.01666667,0.00054545,1,1
t5323389b,1,primary,l3065750,l3065750.2,wye,1,0.00090909,1,1
t5323389b,2,secondary_1,x3065750b,x3065750b.1.0,wye,0.01666667,0.00090909,1,1
t5323389b,3,secondary_2,x3065750b,x3065750b.0.2,wye,0.01666667,0.00090909,1,1
t28127253a,1,primary,l3085401,l3085401.1,wye,1,0.00136364,1,1
t28127253a,2,secondary_1,x3085401a,x3085401a.1.0,wye,0.01666667,0.00136364,1,1
t28127253a,3,secondary_2,x3085401a,x3085401a.0.2,wye,0.01666667,0.00136364,1,1
t21397067a,1,primary,l2729413,l2729413.1,wye,1,0.00054545,1,1
t21397067a,2,secondary_1,x2729413a,x2729413a.1.0,wye,0.01666667,0.00054545,1,1
t21397067a,3,secondary_2,x2729413a,x2729413a.0.2,wye,0.01666667,0.00054545,1,1
t5260520b,1,primary,l3254915,l3254915.2,wye,1,0.00018182,1,1
t5260520b,2,secondary_1,x3254915b,x3254915b.1.0,wye,0.01666667,0.00018182,1,1
t5260520b,3,secondary_2,x3254915b,x3254915b.0.2,wye,0.01666667,0.00018182,1,1
t5323250b,1,primary,l2748131,l2748131.2,wye,1,0.00054545,1,1
t5323250b,2,secondary_1,x2748131b,x2748131b.1.0,wye,0.01666667,0.00054545,1,1
t5323250b,3,secondary_2,x2748131b,x2748131b.0.2,wye,0.01666667,0.00054545,1,1
t5337659c,1,primary,l3066810,l3066810.3,wye,1,0.00090909,1,1
t5337659c,2,secondary_1,x3066810c,x3066810c.1.0,wye,0.01666667,0.00090909,1,1
t5337659c,3,secondary_2,x3066810c,x3066810c.0.2,wye,0.01666667,0.00090909,1,1
t28118903b,1,primary,l2973146,l2973146.2,wye,1,0.00090909,1,1
t28118903b,2,secondary_1,x2973146b,x2973146b.1.0,wye,0.01666667,0.00090909,1,1
t28118903b,3,secondary_2,x2973146b,x2973146b.0.2,wye,0.01666667,0.00090909,1,1
t21398646b,1,primary,l2973180,l2973180.2,wye,1,0.00090909,1,1
t21398646b,2,secondary_1,x2973180b,x2973180b.1.0,wye,0.01666667,0.00090909,1,1
t21398646b,3,secondary_2,x2973180b,x2973180b.0.2,wye,0.01666667,0.00090909,1,1
t5293656b,1,primary,l2973167,l2973167.2,wye,1,0.00054545,1,1
t5293656b,2,secondary_1,x2973167b,x2973167b.1.0,wye,0.01666667,0.00054545,1,1
t5293656b,3,secondary_2,x2973167b,x2973167b.0.2,wye,0.01666667,0.00054545,1,1
t5338910c,1,primary,l2841621,l2841621.3,wye,1,0.00090909,1,1
t5338910c,2,secondary_1,x2841621c,x2841621c.1.0,wye,0.01666667,0.00090909,1,1
t5338910c,3,secondary_2,x2841621c,x2841621c.0.2,wye,0.01666667,0.00090909,1,1
t28129923c,1,primary,l3123509,l3123509.3,wye,1,0.00054545,1,1
t28129923c,2,secondary_1,x3123509c,x3123509c.1.0,wye,0.01666667,0.00054545,1,1
t28129923c,3,secondary_2,x3123509c,x3123509c.0.2,wye,0.01666667,0.00054545,1,1
t5337716a,1,primary,l2841627,l2841627.1,wye,1,0.00054545,1,1
t5337716a,2,secondary_1,x2841627a,x2841627a.1.0,wye,0.01666667,0.00054545,1,1
t5337716a,3,secondary_2,x2841627a,x2841627a.0.2,wye,0.01666667,0.00054545,1,1
t5337698b,1,primary,l3235250,l3235250.2,wye,1,0.00036364,1,1
t5337698b,2,secondary_1,x3235250b,x3235250b.1.0,wye,0.01666667,0.00036364,1,1
t5337698b,3,secondary_2,x3235250b,x3235250b.0.2,wye,0.01666667,0.00036364,1,1
t2224386946a,1,primary,l3728037,l3728037.1,wye,1,0.00090909,1,1
t2224386946a,2,secondary_1,x3728037a,x3728037a.1.0,wye,0.01666667,0.00090909,1,1
t2224386946a,3,secondary_2,x3728037a,x3728037a.0.2,wye,0.01666667,0.00090909,1,1
t5330121b,1,primary,l3142078,l3142078.2,wye,1,0.00036364,1,1
t5330121b,2,secondary_1,x3142078b,x3142078b.1.0,wye,0.01666667,0.00036364,1,1
t5330121b,3,secondary_2,x3142078b,x3142078b.0.2,wye,0.01666667,0.00036364,1,1
t5323252b,1,primary,l2879066,l2879066.2,wye,1,0.00054545,1,1
t5323252b,2,secondary_1,x2879066b,x2879066b.1.0,wye,0.01666667,0.00054545,1,1
t5323252b,3,secondary_2,x2879066b,x2879066b.0.2,wye,0.01666667,0.00054545,1,1
t5441331c,1,primary,l3235254,l3235254.3,wye,1,0.00090909,1,1
t5441331c,2,secondary_1,x3235254c,x3235254c.1.0,wye,0.01666667,0.00090909,1,1
t5441331c,3,secondary_2,x3235254c,x3235254c.0.2,wye,0.01666667,0.00090909,1,1
t5260474a,1,primary,l2917330,l2917330.1,wye,1,0.00090909,1,1
t5260474a,2,secondary_1,x2917330a,x2917330a.1.0,wye,0.01666667,0.00090909,1,1
t5260474a,3,secondary_2,x2917330a,x2917330a.0.2,wye,0.01666667,0.00090909,1,1
t5355376b,1,primary,l2914323,l2914323.2,wye,1,0.00036364,1,1
t5355376b,2,secondary_1,x2914323b,x2914323b.1.0,wye,0.01666667,0.00036364,1,1
t5355376b,3,secondary_2,x2914323b,x2914323b.0.2,wye,0.01666667,0.00036364,1,1
t5338944c,1,primary,l3197640,l3197640.3,wye,1,0.00036364,1,1
t5338944c,2,secondary_1,x3197640c,x3197640c.1.0,wye,0.01666667,0.00036364,1,1
t5338944c,3,secondary_2,x3197640c,x3197640c.0.2,wye,0.01666667,0.00036364,1,1
t5260640c,1,primary,l3179673,l3179673.3,wye,1,0.00054545,1,1
t5260640c,2,secondary_1,x3179673c,x3179673c.1.0,wye,0.01666667,0.00054545,1,1
t5260640c,3,secondary_2,x3179673c,x3179673c.0.2,wye,0.01666667,0.00054545,1,1
t5274997c,1,primary,l3048228,l3048228.3,wye,1,0.00090909,1,1
t5274997c,2,secondary_1,x3048228c,x3048228c.1.0,wye,0.01666667,0.00090909,1,1
t5274997c,3,secondary_2,x3048228c,x3048228c.0.2,wye,0.01666667,0.00090909,1,1
t5138372c,1,primary,l3104126,l3104126.3,wye,1,0.00036364,1,1
t5138372c,2,secondary_1,x3104126c,x3104126c.1.0,wye,0.01666667,0.00036364,1,1
t5138372c,3,secondary_2,x3104126c,x3104126c.0.2,wye,0.01666667,0.00036364,1,1
t226308721a,1,primary,l2990098,l2990098.1,wye,1,0.00181818,1,1
t226308721a,2,secondary_1,x2990098a,x2990098a.1.0,wye,0.01666667,0.00181818,1,1
t226308721a,3,secondary_2,x2990098a,x2990098a.0.2,wye,0.01666667,0.00181818,1,1
t21380616a,1,primary,l2879067,l2879067.1,wye,1,0.00090909,1,1
t21380616a,2,secondary_1,x2879067a,x2879067a.1.0,wye,0.01666667,0.00090909,1,1
t21380616a,3,secondary_2,x2879067a,x2879067a.0.2,wye,0.01666667,0.00090909,1,1
t226193170a,1,primary,l3176656,l3176656.1,wye,1,0.00090909,1,1
t226193170a,2,secondary_1,x3176656a,x3176656a.1.0,wye,0.01666667,0.00090909,1,1
t226193170a,3,secondary_2,x3176656a,x3176656a.0.2,wye,0.01666667,0.00090909,1,1
t5293666c,1,primary,l2710532,l2710532.3,wye,1,0.00036364,1,1
t5293666c,2,secondary_1,x2710532c,x2710532c.1.0,wye,0.01666667,0.00036364,1,1
t5293666c,3,secondary_2,x2710532c,x2710532c.0.2,wye,0.01666667,0.00036364,1,1
t5338994b,1,primary,l3160115,l3160115.2,wye,1,0.00181818,1,1
t5338994b,2,secondary_1,x3160115b,x3160115b.1.0,wye,0.01666667,0.00181818,1,1
t5338994b,3,secondary_2,x3160115b,x3160115b.0.2,wye,0.01666667,0.00181818,1,1
t228665517c,1,primary,l3103822,l3103822.3,wye,1,0.00136364,1,1
t228665517c,2,secondary_1,x3103822c,x3103822c.1.0,wye,0.01666667,0.00136364,1,1
t228665517c,3,secondary_2,x3103822c,x3103822c.0.2,wye,0.01666667,0.00136364,1,1
t5260647a,1,primary,l2805034,l2805034.1,wye,1,0.00036364,1,1
t5260647a,2,secondary_1,x2805034a,x2805034a.1.0,wye,0.01666667,0.00036364,1,1
t5260647a,3,secondary_2,x2805034a,x2805034a.0.2,wye,0.01666667,0.00036364,1,1
t226115278a,1,primary,l3157167,l3157167.1,wye,1,0.00054545,1,1
t226115278a,2,secondary_1,x3157167a,x3157167a.1.0,wye,0.01666667,0.00054545,1,1
t226115278a,3,secondary_2,x3157167a,x3157167a.0.2,wye,0.01666667,0.00054545,1,1
t5338977a,1,primary,l2916620,l2916620.1,wye,1,0.00036364,1,1
t5338977a,2,secondary_1,x2916620a,x2916620a.1.0,wye,0.01666667,0.00036364,1,1
t5338977a,3,secondary_2,x2916620a,x2916620a.0.2,wye,0.01666667,0.00036364,1,1
t5338977b,1,primary,l2916620,l2916620.2,wye,1,0.00036364,1,1
t5338977b,2,secondary_1,x2916620b,x2916620b.1.0,wye,0.01666667,0.00036364,1,1
t5338977b,3,secondary_2,x2916620b,x2916620b.0.2,wye,0.01666667,0.00036364,1,1
t5338977c,1,primary,l2916620,l2916620.3,wye,1,0.00036364,1,1
t5338977c,2,secondary_1,x2916620c,x2916620c.1.0,wye,0.01666667,0.00036364,1,1
t5338977c,3,secondary_2,x2916620c,x2916620c.0.2,wye,0.01666667,0.00036364,1,1
t5321876a,1,primary,l3027132,l3027132.1,wye,1,0.00054545,1,1
t5321876a,2,secondary_1,x3027132a,x3027132a.1.0,wye,0.01666667,0.00054545,1,1
t5321876a,3,secondary_2,x3027132a,x3027132a.0.2,wye,0.01666667,0.00054545,1,1
t5275001c,1,primary,l2822862,l2822862.3,wye,1,0.00054545,1,1
t5275001c,2,secondary_1,x2822862c,x2822862c.1.0,wye,0.01666667,0.00054545,1,1
t5275001c,3,secondary_2,x2822862c,x2822862c.0.2,wye,0.01666667,0.00054545,1,1
t227411650c,1,primary,l2937757,l2937757.3,wye,1,0.00090909,1,1
t227411650c,2,secondary_1,x2937757c,x2937757c.1.0,wye,0.01666667,0.00090909,1,1
t227411650c,3,secondary_2,x2937757c,x2937757c.0.2,wye,0.01666667,0.00090909,1,1
t21396699b,1,primary,l2860483,l2860483.2,wye,1,0.00090909,1,1
t21396699b,2,secondary_1,x2860483b,x2860483b.1.0,wye,0.01666667,0.00090909,1,1
t21396699b,3,secondary_2,x2860483b,x2860483b.0.2,wye,0.01666667,0.00090909,1,1
t5302412a,1,primary,l3048210,l3048210.1,wye,1,0.00136364,1,1
t5302412a,2,secondary_1,x3048210a,x3048210a.1.0,wye,0.01666667,0.00136364,1,1
t5302412a,3,secondary_2,x3048210a,x3048210a.0.2,wye,0.01666667,0.00136364,1,1
t2223661373a,1,primary,l3312692,l3312692.1,wye,1,0.00090909,1,1
t2223661373a,2,secondary_1,x3312692a,x3312692a.1.0,wye,0.01666667,0.00090909,1,1
t2223661373a,3,secondary_2,x3312692a,x3312692a.0.2,wye,0.01666667,0.00090909,1,1
t226881700a,1,primary,l3251854,l3251854.1,wye,1,0.00090909,1,1
t226881700a,2,secondary_1,x3251854a,x3251854a.1.0,wye,0.01666667,0.00090909,1,1
t226881700a,3,secondary_2,x3251854a,x3251854a.0.2,wye,0.01666667,0.00090909,1,1
