equipment_class,equipment_id,terminal,original_bus,reduced_bus
transformer,t5293483a,from,l3104133,l3104133
transformer,t5293483a,to,x3104133a,x3104133a
transformer,t21399762a,from,l2879087,l2879087
transformer,t21399762a,to,x2879087a,x2879087a
transformer,t21399762a,from,l2879087,l2879087
transformer,t21399762a,to,x2879087a,x2879087a
transformer,t5138650c,from,l2710510,l2710510
transformer,t5138650c,to,x2710510c,x2710510c
transformer,t5138650c,from,l2710510,l2710510
transformer,t5138650c,to,x2710510c,x2710510c
transformer,t5323242b,from,l3122810,l3122810
transformer,t5323242b,to,x3122810b,x3122810b
transformer,t5323242b,from,l3122810,l3122810
transformer,t5323242b,to,x3122810b,x3122810b
transformer,t28127090c,from,l2954352,l2954352
transformer,t28127090c,to,x2954352c,x2954352c
transformer,t28127090c,from,l2954352,l2954352
transformer,t28127090c,to,x2954352c,x2954352c
transformer,t5138769a,from,l2729411,l2729411
transformer,t5138769a,to,x2729411a,x2729411a
transformer,t5138769a,from,l2729411,l2729411
transformer,t5138769a,to,x2729411a,x2729411a
transformer,t5338896a,from,l3178971,l3178971
transformer,t5338896a,to,x3178971a,x3178971a
transformer,t5338896a,from,l3178971,l3178971
transformer,t5338896a,to,x3178971a,x3178971a
transformer,t5355586b,from,l3254234,l3254234
transformer,t5355586b,to,x3254234b,x3254234b
transformer,t5355586b,from,l3254234,l3254234
transformer,t5355586b,to,x3254234b,x3254234b
transformer,t5293471a,from,293471,293471
transformer,t5293471a,to,x_293471a,x_293471a
transformer,t5293471a,from,293471,293471
transformer,t5293471a,to,x_293471a,x_293471a
transformer,t5293471b,from,293471,293471
transformer,t5293471b,to,x_293471b,x_293471b
transformer,t5293471b,from,293471,293471
transformer,t5293471b,to,x_293471b,x_293471b
transformer,t5293471c,from,293471,293471
transformer,t5293471c,to,x_293471c,x_293471c
transformer,t5293471c,from,293471,293471
transformer,t5293471c,to,x_293471c,x_293471c
transformer,t5338954a,from,l2860482,l2860482
transformer,t5338954a,to,x2860482a,x2860482a
transformer,t5338954a,from,l2860482,l2860482
transformer,t5338954a,to,x2860482a,x2860482a
transformer,t21459629c,from,l2763811,l2763811
transformer,t21459629c,to,x2763811c,x2763811c
transformer,t21459629c,from,l2763811,l2763811
transformer,t21459629c,to,x2763811c,x2763811c
transformer,t5260562a,from,l3251799,l3251799
transformer,t5260562a,to,x3251799a,x3251799a
transformer,t5260562a,from,l3251799,l3251799
transformer,t5260562a,to,x3251799a,x3251799a
transformer,t21393486c,from,l2898526,l2898526
transformer,t21393486c,to,x2898526c,x2898526c
transformer,t21393486c,from,l2898526,l2898526
transformer,t21393486c,to,x2898526c,x2898526c
transformer,t5293518b,from,l2897780,l2897780
transformer,t5293518b,to,x2897780b,x2897780b
transformer,t5293518b,from,l2897780,l2897780
transformer,t5293518b,to,x2897780b,x2897780b
transformer,t226195194c,from,l3027124,l3027124
transformer,t226195194c,to,x3027124c,x3027124c
transformer,t226195194c,from,l3027124,l3027124
transformer,t226195194c,to,x3027124c,x3027124c
transformer,t21383494b,from,l2954361,l2954361
transformer,t21383494b,to,x2954361b,x2954361b
transformer,t21383494b,from,l2954361,l2954361
transformer,t21383494b,to,x2954361b,x2954361b
transformer,t5251863c,from,l2745811,l2745811
transformer,t5251863c,to,x2745811c,x2745811c
transformer,t5251863c,from,l2745811,l2745811
transformer,t5251863c,to,x2745811c,x2745811c
transformer,t5293645a,from,l2841633,l2841633
transformer,t5293645a,to,x2841633a,x2841633a
transformer,t5293645a,from,l2841633,l2841633
transformer,t5293645a,to,x2841633a,x2841633a
transformer,t21482431a,from,l2917359,l2917359
transformer,t21482431a,to,x2917359a,x2917359a
transformer,t21482431a,from,l2917359,l2917359
transformer,t21482431a,to,x2917359a,x2917359a
transformer,t5293480a,from,l2748158,l2748158
transformer,t5293480a,to,x2748158a,x2748158a
transformer,t5293480a,from,l2748158,l2748158
transformer,t5293480a,to,x2748158a,x2748158a
transformer,t21469911a,from,l2955047,l2955047
transformer,t21469911a,to,x2955047a,x2955047a
transformer,t21469911a,from,l2955047,l2955047
transformer,t21469911a,to,x2955047a,x2955047a
transformer,t5355432c,from,l3122837,l3122837
transformer,t5355432c,to,x3122837c,x3122837c
transformer,t5355432c,from,l3122837,l3122837
transformer,t5355432c,to,x3122837c,x3122837c
transformer,t5323285b,from,l2804269,l2804269
transformer,t5323285b,to,x2804269b,x2804269b
transformer,t5323285b,from,l2804269,l2804269
transformer,t5323285b,to,x2804269b,x2804269b
transformer,t226192954c,from,l3157708,l3157708
transformer,t226192954c,to,x3157708c,x3157708c
transformer,t226192954c,from,l3157708,l3157708
transformer,t226192954c,to,x3157708c,x3157708c
transformer,t5207292c,from,l3179682,l3179682
transformer,t5207292c,to,x3179682c,x3179682c
transformer,t5207292c,from,l3179682,l3179682
transformer,t5207292c,to,x3179682c,x3179682c
transformer,t5337672b,from,l2822877,l2822877
transformer,t5337672b,to,x2822877b,x2822877b
transformer,t5337672b,from,l2822877,l2822877
transformer,t5337672b,to,x2822877b,x2822877b
transformer,t5442373c,from,l3141393,l3141393
transformer,t5442373c,to,x3141393c,x3141393c
transformer,t5442373c,from,l3141393,l3141393
transformer,t5442373c,to,x3141393c,x3141393c
transformer,t21470405a,from,l2897801,l2897801
transformer,t21470405a,to,x2897801a,x2897801a
transformer,t21470405a,from,l2897801,l2897801
transformer,t21470405a,to,x2897801a,x2897801a
transformer,t5218474a,from,l3217056,l3217056
transformer,t5218474a,to,x3217056a,x3217056a
transformer,t5218474a,from,l3217056,l3217056
transformer,t5218474a,to,x3217056a,x3217056a
transformer,t5218472a,from,l2936270,l2936270
transformer,t5218472a,to,x2936270a,x2936270a
transformer,t5218472a,from,l2936270,l2936270
transformer,t5218472a,to,x2936270a,x2936270a
transformer,t5356014a,from,l3235249,l3235249
transformer,t5356014a,to,x3235249a,x3235249a
transformer,t5356014a,from,l3235249,l3235249
transformer,t5356014a,to,x3235249a,x3235249a
transformer,t5260528c,from,l3217052,l3217052
transformer,t5260528c,to,x3217052c,x3217052c
transformer,t5260528c,from,l3217052,l3217052
transformer,t5260528c,to,x3217052c,x3217052c
transformer,t5355933a,from,l2916598,l2916598
transformer,t5355933a,to,x2916598a,x2916598a
transformer,t5355933a,from,l2916598,l2916598
transformer,t5355933a,to,x2916598a,x2916598a
transformer,t5138649a,from,l3048206,l3048206
transformer,t5138649a,to,x3048206a,x3048206a
transformer,t5138649a,from,l3048206,l3048206
transformer,t5138649a,to,x3048206a,x3048206a
transformer,t5391978c,from,l3141402,l3141402
transformer,t5391978c,to,x3141402c,x3141402c
transformer,t5391978c,from,l3141402,l3141402
transformer,t5391978c,to,x3141402c,x3141402c
transformer,t5138642a,from,l3235256,l3235256
transformer,t5138642a,to,x3235256a,x3235256a
transformer,t5138642a,from,l3235256,l3235256
transformer,t5138642a,to,x3235256a,x3235256a
transformer,t21149420a,from,l3178973,l3178973
transformer,t21149420a,to,x3178973a,x3178973a
transformer,t21149420a,from,l3178973,l3178973
transformer,t21149420a,to,x3178973a,x3178973a
transformer,t21382992a,from,l3197654,l3197654
transformer,t21382992a,to,x3197654a,x3197654a
transformer,t21382992a,from,l3197654,l3197654
transformer,t21382992a,to,x3197654a,x3197654a
transformer,t5338958c,from,l3066809,l3066809
transformer,t5338958c,to,x3066809c,x3066809c
transformer,t5338958c,from,l3066809,l3066809
transformer,t5338958c,to,x3066809c,x3066809c
transformer,t5355585b,from,l2766742,l2766742
transformer,t5355585b,to,x2766742b,x2766742b
transformer,t5355585b,from,l2766742,l2766742
transformer,t5355585b,to,x2766742b,x2766742b
transformer,t5338900a,from,l2991908,l2991908
transformer,t5338900a,to,x2991908a,x2991908a
transformer,t5338900a,from,l2991908,l2991908
transformer,t5338900a,to,x2991908a,x2991908a
transformer,t5323389b,from,l3065750,l3065750
transformer,t5323389b,to,x3065750b,x3065750b
transformer,t5323389b,from,l3065750,l3065750
transformer,t5323389b,to,x3065750b,x3065750b
transformer,t28127253a,from,l3085401,l3085401
transformer,t28127253a,to,x3085401a,x3085401a
transformer,t28127253a,from,l3085401,l3085401
transformer,t28127253a,to,x3085401a,x3085401a
transformer,t21397067a,from,l2729413,l2729413
transformer,t21397067a,to,x2729413a,x2729413a
transformer,t21397067a,from,l2729413,l2729413
transformer,t21397067a,to,x2729413a,x2729413a
transformer,t5260520b,from,l3254915,l3254915
transformer,t5260520b,to,x3254915b,x3254915b
transformer,t5260520b,from,l3254915,l3254915
transformer,t5260520b,to,x3254915b,x3254915b
transformer,t5323250b,from,l2748131,l2748131
transformer,t5323250b,to,x2748131b,x2748131b
transformer,t5323250b,from,l2748131,l2748131
transformer,t5323250b,to,x2748131b,x2748131b
transformer,t5337659c,from,l3066810,l3066810
transformer,t5337659c,to,x3066810c,x3066810c
transformer,t5337659c,from,l3066810,l3066810
transformer,t5337659c,to,x3066810c,x3066810c
transformer,t28118903b,from,l2973146,l2973146
transformer,t28118903b,to,x2973146b,x2973146b
transformer,t28118903b,from,l2973146,l2973146
transformer,t28118903b,to,x2973146b,x2973146b
transformer,t21398646b,from,l2973180,l2973180
transformer,t21398646b,to,x2973180b,x2973180b
transformer,t21398646b,from,l2973180,l2973180
transformer,t21398646b,to,x2973180b,x2973180b
transformer,t5293656b,from,l2973167,l2973167
transformer,t5293656b,to,x2973167b,x2973167b
transformer,t5293656b,from,l2973167,l2973167
transformer,t5293656b,to,x2973167b,x2973167b
transformer,t5338910c,from,l2841621,l2841621
transformer,t5338910c,to,x2841621c,x2841621c
transformer,t5338910c,from,l2841621,l2841621
transformer,t5338910c,to,x2841621c,x2841621c
transformer,t28129923c,from,l3123509,l3123509
transformer,t28129923c,to,x3123509c,x3123509c
transformer,t28129923c,from,l3123509,l3123509
transformer,t28129923c,to,x3123509c,x3123509c
transformer,t5337716a,from,l2841627,l2841627
transformer,t5337716a,to,x2841627a,x2841627a
transformer,t5337716a,from,l2841627,l2841627
transformer,t5337716a,to,x2841627a,x2841627a
transformer,t5337698b,from,l3235250,l3235250
transformer,t5337698b,to,x3235250b,x3235250b
transformer,t5337698b,from,l3235250,l3235250
transformer,t5337698b,to,x3235250b,x3235250b
transformer,t2224386946a,from,l3728037,l3728037
transformer,t2224386946a,to,x3728037a,x3728037a
transformer,t2224386946a,from,l3728037,l3728037
transformer,t2224386946a,to,x3728037a,x3728037a
transformer,t5330121b,from,l3142078,l3142078
transformer,t5330121b,to,x3142078b,x3142078b
transformer,t5330121b,from,l3142078,l3142078
transformer,t5330121b,to,x3142078b,x3142078b
transformer,t5323252b,from,l2879066,l2879066
transformer,t5323252b,to,x2879066b,x2879066b
transformer,t5323252b,from,l2879066,l2879066
transformer,t5323252b,to,x2879066b,x2879066b
transformer,t5441331c,from,l3235254,l3235254
transformer,t5441331c,to,x3235254c,x3235254c
transformer,t5441331c,from,l3235254,l3235254
transformer,t5441331c,to,x3235254c,x3235254c
transformer,t5260474a,from,l2917330,l2917330
transformer,t5260474a,to,x2917330a,x2917330a
transformer,t5260474a,from,l2917330,l2917330
transformer,t5260474a,to,x2917330a,x2917330a
transformer,t5355376b,from,l2914323,l2914323
transformer,t5355376b,to,x2914323b,x2914323b
transformer,t5355376b,from,l2914323,l2914323
transformer,t5355376b,to,x2914323b,x2914323b
transformer,t5338944c,from,l3197640,l3197640
transformer,t5338944c,to,x3197640c,x3197640c
transformer,t5338944c,from,l3197640,l3197640
transformer,t5338944c,to,x3197640c,x3197640c
transformer,t5260640c,from,l3179673,l3179673
transformer,t5260640c,to,x3179673c,x3179673c
transformer,t5260640c,from,l3179673,l3179673
transformer,t5260640c,to,x3179673c,x3179673c
transformer,t5274997c,from,l3048228,l3048228
transformer,t5274997c,to,x3048228c,x3048228c
transformer,t5274997c,from,l3048228,l3048228
transformer,t5274997c,to,x3048228c,x3048228c
transformer,t5138372c,from,l3104126,l3104126
transformer,t5138372c,to,x3104126c,x3104126c
transformer,t5138372c,from,l3104126,l3104126
transformer,t5138372c,to,x3104126c,x3104126c
transformer,t226308721a,from,l2990098,l2990098
transformer,t226308721a,to,x2990098a,x2990098a
transformer,t226308721a,from,l2990098,l2990098
transformer,t226308721a,to,x2990098a,x2990098a
transformer,t21380616a,from,l2879067,l2879067
transformer,t21380616a,to,x2879067a,x2879067a
transformer,t21380616a,from,l2879067,l2879067
transformer,t21380616a,to,x2879067a,x2879067a
transformer,t226193170a,from,l3176656,l3176656
transformer,t226193170a,to,x3176656a,x3176656a
transformer,t226193170a,from,l3176656,l3176656
transformer,t226193170a,to,x3176656a,x3176656a
transformer,t5293666c,from,l2710532,l2710532
transformer,t5293666c,to,x2710532c,x2710532c
transformer,t5293666c,from,l2710532,l2710532
transformer,t5293666c,to,x2710532c,x2710532c
transformer,t5338994b,from,l3160115,l3160115
transformer,t5338994b,to,x3160115b,x3160115b
transformer,t5338994b,from,l3160115,l3160115
transformer,t5338994b,to,x3160115b,x3160115b
transformer,t228665517c,from,l3103822,l3103822
transformer,t228665517c,to,x3103822c,x3103822c
transformer,t228665517c,from,l3103822,l3103822
transformer,t228665517c,to,x3103822c,x3103822c
transformer,t5260647a,from,l2805034,l2805034
transformer,t5260647a,to,x2805034a,x2805034a
transformer,t5260647a,from,l2805034,l2805034
transformer,t5260647a,to,x2805034a,x2805034a
transformer,t226115278a,from,l3157167,l3157167
transformer,t226115278a,to,x3157167a,x3157167a
transformer,t226115278a,from,l3157167,l3157167
transformer,t226115278a,to,x3157167a,x3157167a
transformer,t5338977a,from,l2916620,l2916620
transformer,t5338977a,to,x2916620a,x2916620a
transformer,t5338977a,from,l2916620,l2916620
transformer,t5338977a,to,x2916620a,x2916620a
transformer,t5338977b,from,l2916620,l2916620
transformer,t5338977b,to,x2916620b,x2916620b
transformer,t5338977b,from,l2916620,l2916620
transformer,t5338977b,to,x2916620b,x2916620b
transformer,t5338977c,from,l2916620,l2916620
transformer,t5338977c,to,x2916620c,x2916620c
transformer,t5338977c,from,l2916620,l2916620
transformer,t5338977c,to,x2916620c,x2916620c
transformer,t5321876a,from,l3027132,l3027132
transformer,t5321876a,to,x3027132a,x3027132a
transformer,t5321876a,from,l3027132,l3027132
transformer,t5321876a,to,x3027132a,x3027132a
transformer,t5275001c,from,l2822862,l2822862
transformer,t5275001c,to,x2822862c,x2822862c
transformer,t5275001c,from,l2822862,l2822862
transformer,t5275001c,to,x2822862c,x2822862c
transformer,t227411650c,from,l2937757,l2937757
transformer,t227411650c,to,x2937757c,x2937757c
transformer,t227411650c,from,l2937757,l2937757
transformer,t227411650c,to,x2937757c,x2937757c
transformer,t21396699b,from,l2860483,l2860483
transformer,t21396699b,to,x2860483b,x2860483b
transformer,t21396699b,from,l2860483,l2860483
transformer,t21396699b,to,x2860483b,x2860483b
transformer,t5302412a,from,l3048210,l3048210
transformer,t5302412a,to,x3048210a,x3048210a
transformer,t5302412a,from,l3048210,l3048210
transformer,t5302412a,to,x3048210a,x3048210a
transformer,t2223661373a,from,l3312692,l3312692
transformer,t2223661373a,to,x3312692a,x3312692a
transformer,t2223661373a,from,l3312692,l3312692
transformer,t2223661373a,to,x3312692a,x3312692a
transformer,t226881700a,from,l3251854,l3251854
transformer,t226881700a,to,x3251854a,x3251854a
transformer,t226881700a,from,l3251854,l3251854
transformer,t226881700a,to,x3251854a,x3251854a
transformer,t5355777b,from,l3085398,l3085398
transformer,t5355777b,to,x3085398b,x3085398b
transformer,t5355777b,from,l3085398,l3085398
transformer,t5355777b,to,x3085398b,x3085398b
transformer,t5337671a,from,l3254207,l3254207
transformer,t5337671a,to,x3254207a,x3254207a
transformer,t5337671a,from,l3254207,l3254207
transformer,t5337671a,to,x3254207a,x3254207a
transformer,t5339018a,from,l2729424,l2729424
transformer,t5339018a,to,x2729424a,x2729424a
transformer,t5339018a,from,l2729424,l2729424
transformer,t5339018a,to,x2729424a,x2729424a
transformer,t21398676a,from,l3066816,l3066816
transformer,t21398676a,to,x3066816a,x3066816a
transformer,t21398676a,from,l3066816,l3066816
transformer,t21398676a,to,x3066816a,x3066816a
transformer,t5138469c,from,l2785518,l2785518
transformer,t5138469c,to,x2785518c,x2785518c
transformer,t5138469c,from,l2785518,l2785518
transformer,t5138469c,to,x2785518c,x2785518c
transformer,t5138373c,from,l3029503,l3029503
transformer,t5138373c,to,x3029503c,x3029503c
transformer,t5138373c,from,l3029503,l3029503
transformer,t5138373c,to,x3029503c,x3029503c
transformer,t5391995a,from,l2748140,l2748140
transformer,t5391995a,to,x2748140a,x2748140a
transformer,t5391995a,from,l2748140,l2748140
transformer,t5391995a,to,x2748140a,x2748140a
transformer,t225533423c,from,l2891575,l2891575
transformer,t225533423c,to,x2891575c,x2891575c
transformer,t225533423c,from,l2891575,l2891575
transformer,t225533423c,to,x2891575c,x2891575c
transformer,t5260568c,from,l2842329,l2842329
transformer,t5260568c,to,x2842329c,x2842329c
transformer,t5260568c,from,l2842329,l2842329
transformer,t5260568c,to,x2842329c,x2842329c
transformer,t5138754b,from,l3254212,l3254212
transformer,t5138754b,to,x3254212b,x3254212b
transformer,t5138754b,from,l3254212,l3254212
transformer,t5138754b,to,x3254212b,x3254212b
transformer,t5260552a,from,l3198348,l3198348
transformer,t5260552a,to,x3198348a,x3198348a
transformer,t5260552a,from,l3198348,l3198348
transformer,t5260552a,to,x3198348a,x3198348a
transformer,t5338968c,from,l3178979,l3178979
transformer,t5338968c,to,x3178979c,x3178979c
transformer,t5338968c,from,l3178979,l3178979
transformer,t5338968c,to,x3178979c,x3178979c
transformer,t5247061a,from,l2879054,l2879054
transformer,t5247061a,to,x2879054a,x2879054a
transformer,t5247061a,from,l2879054,l2879054
transformer,t5247061a,to,x2879054a,x2879054a
transformer,t5391746b,from,l3085388,l3085388
transformer,t5391746b,to,x3085388b,x3085388b
transformer,t5391746b,from,l3085388,l3085388
transformer,t5391746b,to,x3085388b,x3085388b
transformer,t5338941c,from,l2991914,l2991914
transformer,t5338941c,to,x2991914c,x2991914c
transformer,t5338941c,from,l2991914,l2991914
transformer,t5338941c,to,x2991914c,x2991914c
transformer,t5338982b,from,l2785534,l2785534
transformer,t5338982b,to,x2785534b,x2785534b
transformer,t5338982b,from,l2785534,l2785534
transformer,t5338982b,to,x2785534b,x2785534b
transformer,t5339008b,from,l3122835,l3122835
transformer,t5339008b,to,x3122835b,x3122835b
transformer,t5339008b,from,l3122835,l3122835
transformer,t5339008b,to,x3122835b,x3122835b
transformer,t21391094a,from,l3085395,l3085395
transformer,t21391094a,to,x3085395a,x3085395a
transformer,t21391094a,from,l3085395,l3085395
transformer,t21391094a,to,x3085395a,x3085395a
transformer,t5138581a,from,l2879064,l2879064
transformer,t5138581a,to,x2879064a,x2879064a
transformer,t5138581a,from,l2879064,l2879064
transformer,t5138581a,to,x2879064a,x2879064a
transformer,t5338979b,from,l3066814,l3066814
transformer,t5338979b,to,x3066814b,x3066814b
transformer,t5338979b,from,l3066814,l3066814
transformer,t5338979b,to,x3066814b,x3066814b
transformer,t226308720a,from,l2821087,l2821087
transformer,t226308720a,to,x2821087a,x2821087a
transformer,t226308720a,from,l2821087,l2821087
transformer,t226308720a,to,x2821087a,x2821087a
transformer,t5355595b,from,l2860479,l2860479
transformer,t5355595b,to,x2860479b,x2860479b
transformer,t5355595b,from,l2860479,l2860479
transformer,t5355595b,to,x2860479b,x2860479b
transformer,t2224387113a,from,l3728042,l3728042
transformer,t2224387113a,to,x3728042a,x3728042a
transformer,t2224387113a,from,l3728042,l3728042
transformer,t2224387113a,to,x3728042a,x3728042a
transformer,t21397005a,from,l2935557,l2935557
transformer,t21397005a,to,x2935557a,x2935557a
transformer,t21397005a,from,l2935557,l2935557
transformer,t21397005a,to,x2935557a,x2935557a
transformer,t5274985c,from,l2822864,l2822864
transformer,t5274985c,to,x2822864c,x2822864c
transformer,t5274985c,from,l2822864,l2822864
transformer,t5274985c,to,x2822864c,x2822864c
transformer,t5321836a,from,l3235247,l3235247
transformer,t5321836a,to,x3235247a,x3235247a
transformer,t5321836a,from,l3235247,l3235247
transformer,t5321836a,to,x3235247a,x3235247a
transformer,t225673440a,from,l3251807,l3251807
transformer,t225673440a,to,x3251807a,x3251807a
transformer,t225673440a,from,l3251807,l3251807
transformer,t225673440a,to,x3251807a,x3251807a
transformer,t5337641c,from,l2804282,l2804282
transformer,t5337641c,to,x2804282c,x2804282c
transformer,t5337641c,from,l2804282,l2804282
transformer,t5337641c,to,x2804282c,x2804282c
transformer,t5293659c,from,l2935560,l2935560
transformer,t5293659c,to,x2935560c,x2935560c
transformer,t5293659c,from,l2935560,l2935560
transformer,t5293659c,to,x2935560c,x2935560c
transformer,t5339011b,from,l3104145,l3104145
transformer,t5339011b,to,x3104145b,x3104145b
transformer,t5339011b,from,l3104145,l3104145
transformer,t5339011b,to,x3104145b,x3104145b
transformer,t5218473a,from,l3086078,l3086078
transformer,t5218473a,to,x3086078a,x3086078a
transformer,t5218473a,from,l3086078,l3086078
transformer,t5218473a,to,x3086078a,x3086078a
transformer,t28121587a,from,l2860477,l2860477
transformer,t28121587a,to,x2860477a,x2860477a
transformer,t28121587a,from,l2860477,l2860477
transformer,t28121587a,to,x2860477a,x2860477a
transformer,t2224230689c,from,l3645811,l3645811
transformer,t2224230689c,to,x3645811c,x3645811c
transformer,t2224230689c,from,l3645811,l3645811
transformer,t2224230689c,to,x3645811c,x3645811c
transformer,t227734175b,from,l3102793,l3102793
transformer,t227734175b,to,x3102793b,x3102793b
transformer,t227734175b,from,l3102793,l3102793
transformer,t227734175b,to,x3102793b,x3102793b
transformer,t5337694b,from,l2991910,l2991910
transformer,t5337694b,to,x2991910b,x2991910b
transformer,t5337694b,from,l2991910,l2991910
transformer,t5337694b,to,x2991910b,x2991910b
transformer,t21357515a,from,l2710511,l2710511
transformer,t21357515a,to,x2710511a,x2710511a
transformer,t21357515a,from,l2710511,l2710511
transformer,t21357515a,to,x2710511a,x2710511a
transformer,t28127390c,from,l2860486,l2860486
transformer,t28127390c,to,x2860486c,x2860486c
transformer,t28127390c,from,l2860486,l2860486
transformer,t28127390c,to,x2860486c,x2860486c
transformer,t21387929c,from,l2935551,l2935551
transformer,t21387929c,to,x2935551c,x2935551c
transformer,t21387929c,from,l2935551,l2935551
transformer,t21387929c,to,x2935551c,x2935551c
transformer,t5355605b,from,l2729409,l2729409
transformer,t5355605b,to,x2729409b,x2729409b
transformer,t5355605b,from,l2729409,l2729409
transformer,t5355605b,to,x2729409b,x2729409b
transformer,t5260630b,from,l2973833,l2973833
transformer,t5260630b,to,x2973833b,x2973833b
transformer,t5260630b,from,l2973833,l2973833
transformer,t5260630b,to,x2973833b,x2973833b
transformer,t5337660c,from,l2897769,l2897769
transformer,t5337660c,to,x2897769c,x2897769c
transformer,t5337660c,from,l2897769,l2897769
transformer,t5337660c,to,x2897769c,x2897769c
transformer,t5293663c,from,l3216368,l3216368
transformer,t5293663c,to,x3216368c,x3216368c
transformer,t5293663c,from,l3216368,l3216368
transformer,t5293663c,to,x3216368c,x3216368c
transformer,t5138719a,from,l2860490,l2860490
transformer,t5138719a,to,x2860490a,x2860490a
transformer,t5138719a,from,l2860490,l2860490
transformer,t5138719a,to,x2860490a,x2860490a
transformer,t5251858c,from,l2861158,l2861158
